Timestamp,ID,Ratings [A Year Without Santa Clause],Ratings [Aladdin],Ratings [All American],Ratings [Archer],Ratings [Avengers],Ratings [Back to the Future],Ratings [Blacklist],Ratings [Breaking Bad],Ratings [Brooklyn Nine-Nine],Ratings [Castle Rock],Ratings [Comedians of the World],Ratings [Doctor Strange],Ratings [Doctor Who],Ratings [Edge of Tomorrow],Ratings [Elf],Ratings [Elite],Ratings [End Game],Ratings [Escape Room],Ratings [Family Guy],Ratings [Five Feet Apart],Ratings [Forged in Fire],Ratings [Friends],Ratings [Frisky Dingo],Ratings [Frozen],Ratings [Ghost Adventures],Ratings [Godzilla],Ratings [Grey's Anatomy],Ratings [Hacksaw Ridge],Ratings [Halloween],Ratings [Halloween II],Ratings [Halloween III],Ratings [Home Before Dark],Ratings [Homeland],Ratings [House of Cards],Ratings [How I Met Your Mother],Ratings [Inception],Ratings [Infinity War],Ratings [Interstellar],Ratings [It's Always Sunny in Philadelphia],Ratings [Jane the Virgin],Ratings [Kinsman],Ratings [Les Miserables],Ratings [Lord of the Rings],Ratings [Love is Blink],Ratings [Lucifer],Ratings [The Martian],Ratings [Maze Runner],Ratings [Merlin],Ratings [Midway],Ratings [Minions],Ratings [Murder Mystery],Ratings [My Hero Academia],Ratings [NCIS Los Angeles],Ratings [New Girl],Ratings [Now You See Me],Ratings [Once Upon a Time in Hollywood],Ratings [One Punch Man],Ratings [One Tree Hill],Ratings [Outlander],Ratings [Ozark],Ratings [Parks and Recreation],Ratings [Peaky Blinders],Ratings [Percy Jackson],Ratings [Predators],Ratings [Pulp Fiction],Ratings [Rick and Morty],Ratings [Seinfeld],Ratings [Shameless],Ratings [Sharknado],Ratings [Shawshank Redemption],Ratings [Silence of the Lambs],Ratings [Socerers Apprentice],Ratings [South Park],Ratings [Spongebob Squarepants],Ratings [Star Wars],Ratings [Supernatural],Ratings [Superstore],Ratings [The Angry Birds Movie],Ratings [The Bachelor],Ratings [The Flash],Ratings [The Great British Baking Show],Ratings [The Lobster],Ratings [The Middle],Ratings [The Office],Ratings [The Stranger],Ratings [The Terminator],Ratings [The Voice],Ratings [The Walking Dead],Ratings [This is Us],Ratings [Tiger King],Ratings [Twin Peaks],Ratings [You],Ratings [Zoolander]
4/7/2020 18:27:13,mbaas,N/A,3 stars,,4 stars,3 stars,3 stars,4 stars,,4 stars,,,4 stars,,5 stars,2 stars,,3 stars,,2 stars,,,3 stars,,2 stars,,4 stars,,4 stars,5 stars,4 stars,5 stars,,,3 stars,,4 stars,4 stars,4 stars,5 stars,,,,5 stars,,,3 stars,,,,,,4 stars,,,,4 stars,,,,,5 stars,4 stars,,3 stars,2 stars,,,4 stars,,5 stars,5 stars,,4 stars,,3 stars,,,,,,,4 stars,,5 stars,,,,,,4 stars,5 stars,,
4/7/2020 18:31:18,Tyler,N/A,3 stars,N/A,4 stars,N/A,N/A,N/A,N/A,1 star,N/A,N/A,3 stars,5 stars,N/A,3 stars,5 stars,N/A,N/A,2 stars,N/A,N/A,1 star,3 stars,5 stars,,,,,,,,,,,1 star,,,,2 stars,,,,,,,4 stars,3 stars,4 stars,,2 stars,1 star,,3 stars,,,,,,,,,,,,3 stars,4 stars,1 star,3 stars,5 stars,,,,2 stars,3 stars,3 stars,,,,,,,,,1 star,,,1 star,1 star,,,,,
4/7/2020 18:35:43,The_Real_Slim_Shady,N/A,N/A,N/A,N/A,5 stars,3 stars,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,4 stars,N/A,N/A,5 stars,5 stars,3 stars,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,5 stars,4 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,5 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,4 stars,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/7/2020 18:46:06,despresj,N/A,N/A,N/A,N/A,2 stars,3 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,3 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,3 stars,3 stars,N/A,5 stars,5 stars,N/A,3 stars,3 stars,N/A,2 stars,N/A,5 stars,N/A,4 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,5 stars,5 stars,5 stars,N/A,2 stars,1 star,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,5 stars,N/A,N/A,N/A,N/A,2 stars
4/7/2020 19:20:40,carole baskin,N/A,4 stars,N/A,N/A,4 stars,3 stars,,,5 stars,,,4 stars,2 stars,,4 stars,,,,,,,,,4 stars,,,4 stars,,,,,,,,5 stars,4 stars,5 stars,,,,,4 stars,,,,4 stars,,,,,,,,,,3 stars,,,,,N/A,,,,4 stars,,,,,,,,,4 stars,,,,,,,5 stars,,,,,,3 stars,3 stars,,3 stars,,,
4/7/2020 19:21:10,Ladybug,N/A,5 stars,N/A,N/A,5 stars,5 stars,3 stars,2 stars,N/A,N/A,N/A,3 stars,N/A,N/A,2 stars,N/A,N/A,N/A,4 stars,5 stars,N/A,5 stars,N/A,5 stars,5 stars,4 stars,4 stars,5 stars,N/A,N/A,N/A,N/A,2 stars,N/A,5 stars,N/A,N/A,N/A,2 stars,5 stars,4 stars,N/A,N/A,N/A,5 stars,5 stars,5 stars,4 stars,N/A,3 stars,N/A,N/A,5 stars,2 stars,2 stars,N/A,N/A,4 stars,5 stars,N/A,N/A,N/A,4 stars,N/A,N/A,3 stars,N/A,1 star,1 star,4 stars,5 stars,3 stars,3 stars,3 stars,5 stars,2 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,1 star,N/A,N/A,N/A,3 stars,3 stars,N/A,N/A,2 stars,N/A
4/7/2020 19:30:18,RAD,N/A,4 stars,3 stars,N/A,4 stars,4 stars,N/A,N/A,5 stars,N/A,N/A,N/A,2 stars,N/A,5 stars,N/A,5 stars,N/A,N/A,N/A,N/A,5 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,5 stars,N/A,N/A,4 stars,4 stars,N/A,N/A,4 stars,4 stars,N/A,N/A,4 stars,N/A,N/A,4 stars,4 stars,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,1 star,N/A,2 stars,N/A,N/A,N/A,3 stars,N/A,3 stars,4 stars,N/A,N/A,N/A,3 stars,N/A,5 stars,N/A,N/A,3 stars,N/A,N/A,5 stars,N/A,N/A,4 stars,N/A,1 star,3 stars
4/7/2020 19:58:01,126,,5 stars,,,,,,5 stars,5 stars,,,,,,5 stars,,,,,,,5 stars,,5 stars,,,2 stars,,,,,,,,4 stars,,4 stars,,,,,,,,,,,,,,3 stars,,,5 stars,5 stars,,,5 stars,,,,,,,,,,5 stars,,,,,,3 stars,,,,1 star,,,1 star,,,4 stars,,,1 star,1 star,,,,4 stars,
4/7/2020 20:40:17,,N/A,4 stars,N/A,N/A,4 stars,5 stars,N/A,3 stars,4 stars,N/A,N/A,4 stars,5 stars,4 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,1 star,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,4 stars,4 stars,5 stars,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,5 stars,4 stars,N/A,N/A,1 star,N/A,1 star,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,3 stars,N/A,N/A,1 star,1 star,1 star,1 star,4 stars,N/A,3 stars,1 star,N/A,4 stars,4 stars,1 star,1 star,N/A,N/A,N/A,N/A,4 stars,1 star,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 star,4 stars
4/7/2020 21:04:49,Mo,N/A,N/A,N/A,N/A,1 star,N/A,N/A,3 stars,N/A,N/A,N/A,1 star,1 star,N/A,1 star,N/A,N/A,N/A,1 star,N/A,N/A,3 stars,N/A,1 star,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 star,1 star,1 star,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 star,1 star,N/A,N/A,N/A,1 star,N/A,N/A,3 stars,N/A,1 star,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,5 stars,1 star,1 star,1 star,1 star,N/A,N/A,N/A,1 star,N/A,2 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,1 star,4 stars,4 stars,N/A
4/7/2020 21:05:09,6415,,,,,,,,2 stars,,,,,,,,,,,,,,2 stars,,1 star,,,,,,,,,,,,,,,,,,4 stars,3 stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 stars,,,,,,1 star,,,,,,,,,,,,
4/7/2020 21:18:04,Kayla,,4 stars,,,,,,,,,,,,,5 stars,,N/A,5 stars,3 stars,5 stars,,5 stars,,1 star,,,5 stars,,,,,,,,3 stars,,,,,,,,,4 stars,,,4 stars,,,,4 stars,,,5 stars,,,,5 stars,,,,,,,,,,5 stars,,,,,2 stars,3 stars,,5 stars,,,5 stars,,3 stars,,,3 stars,,,5 stars,5 stars,5 stars,4 stars,,5 stars,
4/7/2020 22:22:09,LoganS,N/A,4 stars,N/A,N/A,5 stars,4 stars,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,5 stars,5 stars,N/A,5 stars,N/A,4 stars,N/A,4 stars,4 stars,N/A,4 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,5 stars,N/A,N/A,5 stars,5 stars,N/A,N/A,N/A,5 stars,5 stars,N/A,5 stars,4 stars,N/A,N/A,4 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,5 stars,N/A,4 stars,4 stars,1 star,N/A,5 stars,N/A,4 stars,5 stars,N/A,4 stars,3 stars,N/A,4 stars,5 stars,N/A,N/A,5 stars
4/7/2020 22:35:16,9160261,5 stars,5 stars,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,4 stars,5 stars,2 stars,N/A,5 stars,N/A,N/A,N/A,N/A,3 stars,N/A,4 stars,N/A,3 stars,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,5 stars,4 stars,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,4 stars,N/A,4 stars,4 stars,3 stars,N/A,5 stars,4 stars,N/A,4 stars,N/A,3 stars,N/A,N/A,N/A,2 stars,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,3 stars,4 stars,N/A,N/A,N/A,N/A,3 stars,4 stars,N/A,N/A,3 stars,N/A,3 stars,3 stars,N/A,N/A,N/A,N/A,N/A,N/A
4/7/2020 23:37:46,G01576083,N/A,4 stars,N/A,N/A,5 stars,2 stars,N/A,2 stars,5 stars,N/A,N/A,5 stars,4 stars,4 stars,3 stars,N/A,5 stars,4 stars,N/A,N/A,N/A,N/A,N/A,2 stars,1 star,4 stars,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,5 stars,4 stars,N/A,N/A,5 stars,N/A,4 stars,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2020 3:33:58,1314217,N/A,4 stars,N/A,N/A,4 stars,N/A,N/A,5 stars,N/A,N/A,N/A,4 stars,5 stars,N/A,5 stars,N/A,N/A,N/A,3 stars,N/A,N/A,4 stars,N/A,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,4 stars,5 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,3 stars,N/A,N/A,N/A,N/A,5 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,4 stars,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,4 stars,N/A
4/8/2020 3:39:58,Cajolery,N/A,2 stars,3 stars,3 stars,5 stars,1 star,5 stars,4 stars,3 stars,N/A,N/A,4 stars,1 star,3 stars,N/A,N/A,5 stars,3 stars,2 stars,N/A,N/A,1 star,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,4 stars,5 stars,5 stars,1 star,N/A,N/A,N/A,N/A,5 stars,N/A,5 stars,4 stars,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,3 stars,2 stars,5 stars,N/A,N/A,3 stars,3 stars,3 stars,N/A,5 stars,3 stars,4 stars,2 stars,N/A,N/A,3 stars,3 stars,N/A,3 stars,2 stars,1 star,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,2 stars,2 stars,N/A,3 stars,N/A,3 stars,5 stars,N/A,N/A
4/8/2020 8:37:27,Blake,N/A,3 stars,N/A,5 stars,1 star,3 stars,N/A,5 stars,5 stars,N/A,N/A,1 star,N/A,N/A,3 stars,N/A,1 star,4 stars,5 stars,2 stars,N/A,5 stars,N/A,2 stars,3 stars,2 stars,4 stars,5 stars,5 stars,5 stars,5 stars,N/A,N/A,N/A,3 stars,2 stars,1 star,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,1 star,N/A,N/A,3 stars,5 stars,5 stars,N/A,1 star,2 stars,4 stars,5 stars,5 stars,5 stars,3 stars,N/A,3 stars,5 stars,2 stars,4 stars,2 stars,5 stars,5 stars,N/A,5 stars,3 stars,5 stars,5 stars,N/A,N/A,2 stars,1 star,N/A,N/A,N/A,N/A,N/A,3 stars,2 stars,4 stars,N/A,4 stars,N/A,5 stars,N/A
4/8/2020 8:46:31,12345,3 stars,3 stars,5 stars,,5 stars,,,,,,,4 stars,,,,,4 stars,,,,,,,,,,,,,,,,,,,,4 stars,,,4 stars,,,5 stars,,3 stars,,4 stars,,,,,,,,4 stars,,,5 stars,,5 stars,,,,,,4 stars,,,,,,,,,,,,,2 stars,,,,,,,,2 stars,,,,,5 stars,
4/8/2020 9:02:37,Phoenix,N/A,1 star,N/A,N/A,1 star,4 stars,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,1 star,N/A,N/A,N/A,1 star,N/A,N/A,1 star,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,1 star,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/8/2020 9:08:58,KP,N/A,4 stars,N/A,N/A,4 stars,3 stars,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,5 stars,4 stars,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,4 stars,N/A,N/A,N/A,N/A,3 stars,3 stars,3 stars,N/A,N/A,N/A,4 stars,4 stars,N/A,N/A,N/A,5 stars,N/A,4 stars,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,4 stars,5 stars,N/A,5 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,2 stars,4 stars,N/A,N/A,N/A,4 stars,4 stars,N/A,4 stars,N/A,N/A,4 stars,4 stars,N/A,3 stars,N/A,5 stars,N/A,N/A,4 stars,N/A
4/8/2020 9:55:55,45612,N/A,4 stars,N/A,1 star,5 stars,3 stars,N/A,5 stars,N/A,N/A,4 stars,5 stars,N/A,1 star,3 stars,N/A,5 stars,1 star,5 stars,1 star,N/A,3 stars,N/A,4 stars,N/A,2 stars,3 stars,5 stars,2 stars,2 stars,2 stars,N/A,N/A,1 star,2 stars,1 star,4 stars,N/A,2 stars,N/A,3 stars,1 star,5 stars,N/A,1 star,4 stars,2 stars,2 stars,2 stars,3 stars,N/A,N/A,3 stars,1 star,2 stars,4 stars,N/A,N/A,N/A,N/A,5 stars,1 star,3 stars,2 stars,5 stars,1 star,4 stars,1 star,1 star,5 stars,5 stars,3 stars,5 stars,3 stars,5 stars,N/A,N/A,N/A,1 star,1 star,N/A,N/A,1 star,1 star,N/A,2 stars,3 stars,5 stars,N/A,1 star,N/A,N/A,3 stars
4/8/2020 10:04:27,Denver,,,,,4 stars,5 stars,,,,,,4 stars,5 stars,,,,3 stars,5 stars,1 star,,,,,,,5 stars,,,,,,,,,,,5 stars,,,,,4 stars,,,4 stars,4 stars,,5 stars,,,,,,,3 stars,,,,,,,,,,,,4 stars,,,,,,,,5 stars,5 stars,,,,,,,,,,,,,,,,,
4/8/2020 11:50:33,dougismycat,,,,,2 stars,,,5 stars,,4 stars,,,,,3 stars,,,,5 stars,,,1 star,,2 stars,,,,3 stars,,,,,,,1 star,,,,5 stars,,,5 stars,,,,2 stars,,,,,,,,5 stars,,,,,,5 stars,3 stars,,2 stars,,4 stars,2 stars,5 stars,5 stars,1 star,5 stars,,,3 stars,5 stars,3 stars,,,,,,5 stars,,2 stars,4 stars,,,,2 stars,,3 stars,,5 stars,