ID,Show ratings [Arrested Development],Show ratings [Better Call Saul],Show ratings [The Big Bang Theory],Show ratings [Bird Box],Show ratings [Black Mirror],Show ratings [Breaking Bad],Show ratings [Cars 3],Show ratings [Coco],Show ratings [Criminal Minds],Show ratings [Despicable Me 3],Show ratings [Friends],Show ratings [Gilmore Girls],Show ratings [Glee],Show ratings [The Good Place],Show ratings [The Great British Baking Show],'Show ratings [Grey''s Anatomy]',Show ratings [Guardians of the Galaxy],Show ratings [The Haunting of Hill House],Show ratings [Incredibles 2],Show ratings [NCIS],Show ratings [New Girl],Show ratings [The Office],Show ratings [Orange is the New Black],Show ratings [Parks and Recreation],Show ratings [Riverdale],Show ratings [Sherlock],Show ratings [Stranger Things],Show ratings [That 70s Show],Show ratings [Tidying Up],Show ratings [The Vampire Diaries],Show ratings [The Walking Dead],Show ratings [You]
A,5 (Great!),4,1 (Yuck!),1 (Yuck!),4,5 (Great!),No rating,No rating,2,No rating,No rating,No rating,No rating,No rating,No rating,No rating,3,No rating,No rating,2,No rating,4,No rating,5 (Great!),No rating,No rating,5 (Great!),2,No rating,No rating,2,No rating
B,4,5 (Great!),1 (Yuck!),1 (Yuck!),5 (Great!),5 (Great!),3,3,1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),5 (Great!),1 (Yuck!),1 (Yuck!),5 (Great!),1 (Yuck!),2,No rating,No rating,2,1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!)
C,No rating,No rating,1 (Yuck!),No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating,3,No rating,No rating,No rating,3,No rating,5 (Great!),No rating,No rating,4,No rating,5 (Great!),No rating,5 (Great!),No rating,No rating,5 (Great!),3,No rating,No rating,4,No rating
D,5 (Great!),4,1 (Yuck!),No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating,2,No rating,No rating,No rating,No rating,No rating,4,No rating,4,2,4,5 (Great!),No rating,5 (Great!),No rating,No rating,5 (Great!),3,No rating,No rating,2,No rating
E,No rating,No rating,4,No rating,No rating,No rating,4,4,No rating,3,2,No rating,4,No rating,4,No rating,No rating,No rating,5 (Great!),No rating,5 (Great!),5 (Great!),No rating,4,No rating,No rating,No rating,,No rating,No rating,No rating,4
F,No rating,5 (Great!),No rating,2,4,5 (Great!),No rating,No rating,No rating,No rating,4,No rating,No rating,No rating,No rating,No rating,5 (Great!),No rating,3,No rating,No rating,2,No rating,5 (Great!),3,No rating,2,No rating,No rating,No rating,No rating,2
G,No rating,2,3,4,5 (Great!),5 (Great!),No rating,No rating,3,No rating,3,No rating,No rating,No rating,No rating,No rating,No rating,No rating,3,No rating,4,4,3,No rating,No rating,2,5 (Great!),3,No rating,No rating,No rating,3
H,No rating,No rating,No rating,4,No rating,No rating,3,No rating,No rating,No rating,No rating,No rating,No rating,No rating,No rating,,5 (Great!),No rating,No rating,3,No rating,4,3,No rating,No rating,No rating,5 (Great!),No rating,No rating,No rating,3,No rating
I,No rating,5 (Great!),1 (Yuck!),1 (Yuck!),4,5 (Great!),5 (Great!),No rating,5 (Great!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),2,1 (Yuck!),1 (Yuck!),No rating,5 (Great!),3,No rating,5 (Great!),3,1 (Yuck!),No rating,No rating,5 (Great!),5 (Great!),No rating,No rating,1 (Yuck!),No rating
J,No rating,No rating,No rating,3,No rating,No rating,3,5 (Great!),5 (Great!),No rating,4,No rating,4,3,2,4,4,No rating,No rating,3,5 (Great!),5 (Great!),No rating,No rating,No rating,No rating,No rating,4,No rating,No rating,1 (Yuck!),No rating
K,No rating,2,2,4,4,3,3,3,No rating,3,4,No rating,3,No rating,No rating,5 (Great!),3,No rating,3,5 (Great!),5 (Great!),5 (Great!),3,4,3,No rating,1 (Yuck!),No rating,No rating,No rating,No rating,No rating
L,5 (Great!),4,1 (Yuck!),No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating,2,No rating,No rating,No rating,No rating,2,No rating,No rating,3,No rating,5 (Great!),5 (Great!),No rating,5 (Great!),No rating,4,No rating,No rating,No rating,No rating,No rating,No rating
M,4,1 (Yuck!),1 (Yuck!),3,No rating,1 (Yuck!),No rating,No rating,5 (Great!),No rating,1 (Yuck!),No rating,No rating,No rating,No rating,No rating,No rating,No rating,No rating,3,2,1 (Yuck!),No rating,4,5 (Great!),1 (Yuck!),1 (Yuck!),3,No rating,5 (Great!),No rating,No rating
N,No rating,No rating,3,3,5 (Great!),4,1 (Yuck!),4,5 (Great!),4,No rating,No rating,No rating,No rating,1 (Yuck!),No rating,5 (Great!),5 (Great!),4,3,No rating,3,3,3,4,4,5 (Great!),No rating,No rating,No rating,No rating,No rating
O,4,5 (Great!),3,No rating,4,5 (Great!),No rating,No rating,No rating,No rating,1 (Yuck!),1 (Yuck!),2,No rating,4,1 (Yuck!),3,5 (Great!),4,3,4,5 (Great!),2,4,1 (Yuck!),5 (Great!),5 (Great!),No rating,No rating,No rating,2,No rating
P,No rating,No rating,3,3,No rating,2,4,,4,4,5 (Great!),5 (Great!),5 (Great!),5 (Great!),No rating,5 (Great!),5 (Great!),No rating,No rating,No rating,No rating,No rating,3,No rating,No rating,No rating,No rating,3,No rating,5 (Great!),No rating,4
Q,No rating,No rating,1 (Yuck!),2,3,5 (Great!),1 (Yuck!),5 (Great!),No rating,No rating,2,No rating,2,5 (Great!),No rating,1 (Yuck!),4,No rating,4,No rating,4,5 (Great!),No rating,5 (Great!),No rating,No rating,5 (Great!),3,2,No rating,No rating,No rating
R,3,No rating,5 (Great!),No rating,No rating,5 (Great!),5 (Great!),5 (Great!),3,5 (Great!),4,No rating,No rating,No rating,No rating,4,5 (Great!),No rating,3,2,3,No rating,No rating,4,5 (Great!),No rating,No rating,5 (Great!),No rating,5 (Great!),3,No rating
S,3,5 (Great!),2,No rating,4,5 (Great!),No rating,No rating,2,No rating,3,No rating,2,No rating,3,No rating,3,No rating,4,2,3,4,No rating,4,No rating,No rating,4,3,No rating,No rating,3,No rating
T,No rating,4,2,No rating,No rating,5 (Great!),1 (Yuck!),4,No rating,2,2,4,3,No rating,3,4,3,No rating,4,No rating,4,5 (Great!),No rating,4,No rating,No rating,5 (Great!),2,No rating,No rating,1 (Yuck!),No rating
U,3,5 (Great!),5 (Great!),1 (Yuck!),5 (Great!),5 (Great!),No rating,No rating,1 (Yuck!),No rating,3,No rating,No rating,3,No rating,No rating,5 (Great!),No rating,No rating,4,5 (Great!),5 (Great!),2,5 (Great!),No rating,5 (Great!),4,4,No rating,No rating,3,No rating
V,No rating,No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating,5 (Great!),4,5 (Great!),5 (Great!),2,4,2,2,4,No rating,5 (Great!),No rating,5 (Great!),5 (Great!),4,5 (Great!),3,No rating,4,5 (Great!),No rating,1 (Yuck!),1 (Yuck!),4
W,No rating,No rating,4,No rating,No rating,No rating,5 (Great!),No rating,4,3,3,2,1 (Yuck!),No rating,No rating,No rating,No rating,3,5 (Great!),No rating,5 (Great!),4,1 (Yuck!),2,5 (Great!),No rating,5 (Great!),5 (Great!),No rating,No rating,1 (Yuck!),5 (Great!)
X,5 (Great!),No rating,1 (Yuck!),No rating,No rating,2,No rating,4,3,No rating,1 (Yuck!),3,2,5 (Great!),5 (Great!),No rating,4,No rating,4,No rating,5 (Great!),5 (Great!),2,5 (Great!),5 (Great!),3,5 (Great!),No rating,No rating,No rating,1 (Yuck!),5 (Great!)
Y,No rating,No rating,3,5 (Great!),No rating,3,No rating,4,No rating,No rating,2,No rating,No rating,No rating,5 (Great!),1 (Yuck!),2,No rating,1 (Yuck!),2,3,4,4,4,No rating,1 (Yuck!),4,3,No rating,No rating,No rating,No rating
Z,4,No rating,1 (Yuck!),5 (Great!),5 (Great!),4,2,5 (Great!),3,2,1 (Yuck!),No rating,1 (Yuck!),5 (Great!),5 (Great!),2,2,5 (Great!),2,No rating,5 (Great!),No rating,2,5 (Great!),4,1 (Yuck!),5 (Great!),No rating,No rating,No rating,No rating,No rating
AA,5 (Great!),5 (Great!),3,2,5 (Great!),5 (Great!),No rating,No rating,4,3,5 (Great!),4,No rating,4,3,No rating,No rating,No rating,No rating,3,3,5 (Great!),No rating,4,No rating,4,No rating,5 (Great!),No rating,No rating,1 (Yuck!),No rating
AB,No rating,No rating,5 (Great!),3,No rating,No rating,4,5 (Great!),No rating,4,No rating,No rating,No rating,No rating,No rating,No rating,5 (Great!),No rating,5 (Great!),No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating,No rating,No rating,No rating,No rating,No rating,No rating
AC,3,2,5 (Great!),2,No rating,5 (Great!),2,No rating,4,1 (Yuck!),5 (Great!),No rating,No rating,5 (Great!),5 (Great!),No rating,5 (Great!),No rating,5 (Great!),4,5 (Great!),3,4,5 (Great!),No rating,5 (Great!),5 (Great!),5 (Great!),No rating,3,1 (Yuck!),No rating
AD,No rating,No rating,1 (Yuck!),4,4,No rating,No rating,4,No rating,5 (Great!),4,No rating,No rating,No rating,No rating,No rating,No rating,No rating,4,No rating,No rating,4,No rating,No rating,5 (Great!),No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating
AE,No rating,No rating,1 (Yuck!),1 (Yuck!),5 (Great!),5 (Great!),2,5 (Great!),3,2,3,No rating,2,5 (Great!),No rating,No rating,5 (Great!),No rating,4,No rating,2,5 (Great!),No rating,5 (Great!),1 (Yuck!),No rating,5 (Great!),4,No rating,4,3,5 (Great!)
AF,No rating,No rating,5 (Great!),No rating,3,4,4,No rating,5 (Great!),No rating,3,1 (Yuck!),No rating,2,No rating,5 (Great!),5 (Great!),No rating,4,No rating,5 (Great!),5 (Great!),3,4,5 (Great!),No rating,5 (Great!),4,No rating,No rating,3,No rating
AG,No rating,No rating,1 (Yuck!),3,1 (Yuck!),4,3,5 (Great!),4,1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),3,5 (Great!),3,5 (Great!),No rating,5 (Great!),4,4,5 (Great!),2,4,3,1 (Yuck!),5 (Great!),5 (Great!),No rating,No rating,No rating,No rating
AH,No rating,No rating,2,No rating,No rating,No rating,2,3,5 (Great!),2,5 (Great!),5 (Great!),5 (Great!),No rating,3,5 (Great!),5 (Great!),No rating,5 (Great!),No rating,1 (Yuck!),1 (Yuck!),No rating,No rating,5 (Great!),No rating,1 (Yuck!),No rating,No rating,5 (Great!),No rating,No rating
AI,No rating,5 (Great!),4,2,No rating,5 (Great!),No rating,No rating,No rating,No rating,5 (Great!),No rating,1 (Yuck!),No rating,No rating,2,4,No rating,No rating,No rating,2,3,No rating,1 (Yuck!),No rating,No rating,5 (Great!),3,No rating,No rating,No rating,No rating
AJ,No rating,No rating,4,5 (Great!),No rating,No rating,No rating,No rating,5 (Great!),No rating,3,3,3,No rating,No rating,5 (Great!),No rating,No rating,No rating,5 (Great!),1 (Yuck!),5 (Great!),4,4,No rating,No rating,No rating,3,No rating,No rating,No rating,No rating
AK,No rating,5 (Great!),No rating,No rating,No rating,5 (Great!),3,4,4,4,No rating,3,No rating,No rating,4,5 (Great!),No rating,No rating,5 (Great!),No rating,5 (Great!),5 (Great!),No rating,4,4,No rating,No rating,No rating,No rating,3,4,4
AL,No rating,No rating,3,No rating,No rating,No rating,1 (Yuck!),5 (Great!),2,3,5 (Great!),5 (Great!),5 (Great!),No rating,5 (Great!),5 (Great!),4,No rating,4,4,5 (Great!),4,No rating,No rating,No rating,5 (Great!),No rating,4,No rating,No rating,No rating,No rating
AM,No rating,No rating,4,2,2,No rating,No rating,No rating,4,4,5 (Great!),5 (Great!),4,No rating,No rating,3,4,5 (Great!),5 (Great!),4,4,5 (Great!),4,No rating,5 (Great!),No rating,5 (Great!),5 (Great!),4,No rating,No rating,5 (Great!)
AN,No rating,No rating,1 (Yuck!),4,5 (Great!),1 (Yuck!),5 (Great!),5 (Great!),5 (Great!),,1 (Yuck!),No rating,No rating,No rating,5 (Great!),1 (Yuck!),5 (Great!),No rating,5 (Great!),,,4,No rating,5 (Great!),5 (Great!),4,5 (Great!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),5 (Great!)
AO,No rating,No rating,5 (Great!),No rating,3,No rating,1 (Yuck!),4,4,3,5 (Great!),5 (Great!),5 (Great!),No rating,No rating,5 (Great!),5 (Great!),2,5 (Great!),No rating,5 (Great!),5 (Great!),No rating,5 (Great!),5 (Great!),No rating,5 (Great!),4,No rating,3,2,No rating
AP,2,No rating,No rating,5 (Great!),3,3,1 (Yuck!),5 (Great!),No rating,1 (Yuck!),5 (Great!),4,3,4,4,4,5 (Great!),No rating,2,No rating,5 (Great!),1 (Yuck!),No rating,1 (Yuck!),1 (Yuck!),5 (Great!),5 (Great!),No rating,5 (Great!),1 (Yuck!),No rating,5 (Great!)
